name,business,website
Susan Johnston,Keller Williams,http://susanjohnston.kwrealty.com/
Tracy Jardine,Independent Beauty Consultant,https://www.marykay.com/tjardine
Summaya Adam,TeamLogicIT,http://www.teamlogicit.com/alpharettaga006/
"Pam Balentine, CPA",Viking Financial Services,http://www.viking-financial.com/
Tim Lom,US Health Advisors,http://ushagent.com/timlom
Robert Brisendine,American Family Insurance,https://www.amfam.com/
Dr. Ben McDowell,McDowell Chiropractic,http://mcdowellchiropractic.com/
Ayesha Nesbeth Aguila,Hands of Life,https://handsoflifetb.com/
Brian Sherman,College Hunks Hauling Junk,https://collegehunkshaulingjunk.com/
Kurt Ward,Franklin American Mortgage Company,https://franklinamerican.com/kurtward
Casey Robinson,Envision Office Solutions,http://www.envisionos.com/
Lauren Tanksley,"Infinity Financial Partners, LLC",http://www.infinityfinpartners.com/
Kevin Coker,Edge Business Systems,http://www.edgeatl.com/
Linda Williamson,Linda Knows Insurance,http://www.lindaknowsinsurance.com/HOME
Melanie R. Mayer,Shafritz & Dean,https://closing.shafritz-dean.com/
Dr. Naeema Olatunji,Elevate Family Chiropractic,http://elevateroswell.com/
Todd Reddeman,Mocha My Day,http://mochamyday.com/
